,Link,Author,Date,Title,Body,Images
0,https://www.bbc.com//news/59136545,By Reality Check team,2021-11-19T10:10:11.000Z,Deforestation: Which countries are still cutting down trees?,"['World leaders have pledged to end and reverse deforestation by 2030.', ""But in Brazil's Amazon rainforest it has hit its highest level in over 15 years - and progress elsewhere is challenging."", 'Some 60% of the Amazon rainforest is in Brazil, and it plays a vital role in absorbing harmful CO2 that would otherwise escape into the atmosphere.', ""After falling steadily since 2004, deforestation in Brazil's Amazon has risen again, according to the country's National Space Research Institute (INPE). "", 'Its latest report found that deforestation increased by 22% in the last year, with 13,235 sq km (5,110 sq miles) of forest lost.', 'Brazil\'s president, Jair Bolsonaro, has been criticised for ""anti-environment"" policies, such as encouraging agriculture and mining in the Amazon.', 'He has cut the funding for the government agencies that are responsible for prosecuting farmers and loggers who break environmental law. Fines for illegal logging fell by 20% in 2020.', 'Exact figures are not available, but recent studies suggest as much as 94% of deforestation and habitat destruction in Brazil could be illegal.', 'Brazil is not the only country responsible for the deforestation of the Amazon - neighbouring countries, including Bolivia, also contribute.', 'Last year, Bolivia lost almost 300,000 hectares of tropical forest - the fourth-highest in the world.', 'The Congo forest basin is the second-largest rainforest in the world. More than half of it lies within the Democratic Republic of Congo.', 'Environmental campaign group Greenpeace says illegal logging - by both large and small companies - is leading to deforestation. Although the US and EU have banned importing illegal timber, it still gets smuggled outside the country.', 'Other threats include small-scale subsistence agriculture, clearing for charcoal and fuel, urban expansion and mining.', 'In the past five years, the annual loss of primary forest has been nearly half a million hectares, according to Global Forest Watch.', 'President Felix Tshisekedi last month ordered an audit of some of the leases allocated to harvest public forests - including one for more than 1.4 million hectares - amid allegations of corruption. The move was welcomed by campaigners. ', 'But earlier this year, the government also announced a plan to lift a ban dating back to 2002 on new logging operations - although it has not yet been implemented.', 'Greenpeace says that would contradict commitments made earlier this year to protect the forest and increase forest cover by 8%.', ""Indonesia has been among the world's top five countries for forest loss for the past two decades."", 'According to data from Global Forest Watch, the country lost 9.75 million hectares of primary forest between 2002 and 2020.', 'President Joko Widodo pledged in 2014 to crack down on deforestation by tackling the main contributor - clearing land for oil palm plantations. ', 'Up to 80% of fires were set for this purpose, according to official data.', ""In 2016, a record 929,000 hectares of forest disappeared, but there's been a steady decrease in the rate of deforestation since then."", 'By 2020, the annual loss was down to 270,000 hectares.', 'In 2019, President Widodo issued a three-year moratorium on new forest clearance, covering about 66 million hectares of primary forest and peatland. This was extended indefinitely this year.', 'Forests absorb vast amounts of carbon dioxide (CO2) - a major contributor to global warming - so cutting down trees can have a big impact on climate change.', 'The UN says 420 million hectares (one billion acres) of forest have been lost since 1990. Agriculture is the main reason for this.', 'More than 100 world leaders have promised to end and reverse deforestation by 2030, at the COP26 summit.', 'There have been efforts to protect forests before.', 'In 2014 the UN announced a deal to halve deforestation by 2020 and end it by 2030.', 'Then, in 2017, it set another target to increase forested land by 3% worldwide by 2030.', 'But deforestation continued at ""an alarming rate"", according to a 2019 report, with serious consequences for the fight against climate change.', 'There has been some reforestation, through natural growth or planting, but trees need years to mature before they can fully absorb CO2. ', 'Over the past decade 4.7 million hectares of forest were still lost annually - with Brazil, the Democratic Republic of Congo and Indonesia among the countries worst affected.', ""Why the COP26 climate summit is importantSimple guide to climate changeFour ways to reduce your emissionsWhat are top polluters doing to cut emissions?Life where it's too hot to work, too hot to sleep""]","['https://ichef.bbci.co.uk/news/976/cpsprodpb/12391/production/_121314647_gettyimages-1174358838.jpg', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/12E1D/production/_121614377_brazil-nc.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/38E2/production/_121326541_optimised-forest_loss-nc-002.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/0FE0/production/_121446040_dr_congo-nc.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/102F3/production/_121319266_indonesia_v2-nc.png', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/15E5B/production/_121319698_gettyimages-452167534.jpg', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/DBE3/production/_121319265_deforestation_v4-nc.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/163F9/production/_120892119_summit_top-3x-002.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/155C6/production/_120449478_bottom-3x.png', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/1848/production/_98761260_onlinebanner_976x280.jpg']"
1,https://www.bbc.com//news/world-australia-59390798,By Kayleen DevlinBBC Monitoring,2021-12-15T16:58:22.000Z,The teenagers and the nun trying to stop an Australian coal mine,"[""When eight teenagers and an elderly nun in Australia teamed up for a climate case, they won, in a historic judgement. Their case has now been appealed by the country's government. If the final verdict swings in their favour, it will have ramifications not just for Australian law but for climate cases world-wide. "", 'In May this year, Anjali Sharma was sitting in her economics class at school in Melbourne when the court in Sydney live-streamed the results of a climate case she had found herself at the centre of. It took a while to sink in. ', '""To me it all just sounded like jargon. It took a briefing from my legal team to understand the magnitude of what had happened,"" she says. ', ""At that moment 17-year-old Ms Sharma and the seven other teenagers involved in her case had made history. Alongside 87-year-old Catholic nun Brigid Arthur, who acted as the young people's legal guardian, they'd taken Australia's environment minister, Sussan Ley, to court - and won."", '""It felt really rewarding to be able to engage in something so historic for Australia, and needed too,"" says Ms Sharma.', 'Their case attempted to stop the expansion of the Vickery coal mine in New South Wales, which is estimated to add an extra 170 million tonnes of fossil fuel emissions to the atmosphere. ', ""The judge in their case, Mordy Bromberg, ruled that the government had a duty to protect young people against future harm related to climate change. It's the first time in the world that a duty of care of this kind has been recognised."", ""Justice Bromberg did not, however, grant them an injunction to prevent the expansion of the mine. In his view, the court didn't have any evidence that Sussan Ley would actually approve the extension, and any injunction would be pre-emptive."", 'Yet in September Ms Ley approved the extension of the Vickery coal mine, as well as three others since then. The government is also appealing the decision in the Sharma case - the outcome of which is due soon.', 'The government used a ""substitution argument"" as one reason to approve Vickery, says the lawyer representing the Sharma case, David Barnden.', '""It\'s the argument that if this particular coal project didn\'t go ahead, it wouldn\'t make a difference to the total amount of emissions because effectively the market would fulfill that demand. That\'s otherwise known as the drug dealer\'s defence - it\'s the idea that \'If I don\'t deal drugs then somebody else will.\'""', 'For Sister Brigid Arthur, the minister\'s decisions since the success of their case are ""quite provocative"".', ""Sister Arthur has spent a lifetime working with young people. For over two decades she has been acting as a litigation guardian - instructing lawyers on behalf of those who can't represent themselves - in cases mostly involving refugees. Before that she was a secondary school teacher. This is her first environmental case. "", '""It\'s engaged young people in a way that seems quite extraordinary. It\'s certainly for me something new,"" she says.', ""She was approached by lawyers just over a year ago who asked her to act as the teenagers' litigation guardian. She didn't take much convincing."", '""I\'m pretty passionate about climate change and while I don\'t work directly in this area, I\'m very conscious of the fact that it\'s important for people to do what they can.', '""Young people are the ones who will inherit whatever we\'re doing now, so they have every right to be calling people to account.""', 'In speaking out, Ms Sharma has made herself a target for attacks.', '""I\'ve been messaged a lot of threats,"" she says.', '""Some of the big news sources in Australia have, I guess, quite a right-wing following, so when news sources like that have covered my story I learned really quickly not to read the comments.""', ""A 2019 report which investigated four publications owned by Australia's most powerful media company, News Corp Australia, argued that they promoted climate scepticism. Of over 8,000 articles analysed, 45% of all items either rejected or cast doubt upon consensus scientific findings."", 'In response, a News Corp Australia spokesman said the year-old report was ""imbalanced"" and coming from ""a political activist group with a history of bias against our company\'s journalism"".', 'News Corp Australia recently has been viewed as softening its hostility towards climate action by advocating for net zero emissions by 2050.', 'Despite this, shortly before and during COP26, videos from News Corp-owned Sky News Australia were recycled and found traction on social media amongst climate sceptics.', 'One Sky News Australia segment in which the host condemns youth climate activists as ""selfish, badly educated, virtue-signalling little turds"" was shared by the head of the advocacy group the CO2 coalition and received over 45,000 likes and 16,000 retweets.', 'As the science of climate change has become harder to argue with, a growing and common tactic is often to shoot the messenger instead - often accusing them of hypocrisy. ', '""Comments like \'Oh, she\'s wearing jeans and I bet she doesn\'t know how much water goes into producing a pair of jeans,\'"" says Ms Sharma. ""And you know, they\'re right. I do own a pair of jeans. But me not owning that pair of jeans is not going to cut Australia\'s emissions in half by 2030.""', 'Why Australia refuses to give up coalHow climate politics is bitterly contested', 'When Sister Brigid first met the teenagers, who knew each other through attending climate protests, she was struck by their passion. She describes them as a group of young people ""who really believe in this, who feel like they can\'t stop"".', '""There are very few greys with young people,"" she says. ""Everything is so black and white.""', 'But for now, all they can do is wait for the result of the appeal to be announced.', 'Despite widespread recognition of the need to move away from coal, there are different approaches when it comes to putting that knowledge into practice. At the COP26 summit in Glasgow, coal became a point of contention after delegates from China and India requested a last-minute change to the agreement, switching the phrase ""phase out"" coal with ""phase down"".', 'The results of the appeal and their case could be game-changing - not only for Australia but for other parts of the world too.', ""A success in their case could signal an erosion in support for fossil fuel burning and extraction with more lawsuits of this kind ahead. But if the minister's appeal is successful, it could see courts effectively vacate the climate field."", 'Australia is the world\'s second-largest exporter of coal. Following the Glasgow summit, Australian Prime Minister Scott Morrison said the coal industry will be operating in the country for ""decades to come"". He added that the plan to achieve net zero by 2050 will not come at the cost of rural and regional Australians. ', '""The world is grappling with this collective action problem of climate change. Every mine has its part to play and every decision counts,"" says Mr Barnden.', '""What the court found was that the emissions from this particular extension project could be the emissions that tip us over the edge to these nonlinear tipping points which would further accelerate climate change.""', 'He hopes that the duty of care ruling - if maintained through the appeal process - can influence other jurisdictions and give hope to young people to be able to participate in the legal process.', '""It\'s a very foundational legal case to approach the problems caused by climate change, and the principles of negligence exist in a whole range of common law countries, from the UK, to New Zealand, Canada and the US as well.""', ""It's too soon to tell whether this case will provide a turning point on climate inaction. But for Ms Sharma and the other teenagers involved in her case, the time for action is now."", '""I really hope the federal court realises that Australia is now running behind the rest of the world, and that the duty of care that my case seeks to establish is really, really needed right now.""']","['https://ichef.bbci.co.uk/news/976/cpsprodpb/101B0/production/_121986956_b8af69c5-0dc7-4193-85c4-3b5530ef07c8.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/4039/production/_121914461_gettyimages-1310017393.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/446E/production/_122081571_anj2.jpg', 'https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png', 'https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/16B7/production/_122051850_coalaustralia.jpg']"
2,https://www.bbc.com//news/science-environment-59644494,Jonathan AmosScience correspondent@BBCAmoson Twitter,2021-12-13T20:44:47.000Z,Thwaites: Antarctic glacier heading for dramatic change,"['Scientists are warning of dramatic changes at one of the biggest glaciers in Antarctica, potentially within the next five to 10 years.', 'They say a floating section at the front of Thwaites Glacier that until now has been relatively stable could ""shatter like a car windscreen"". ', 'US and UK researchers are currently engaged in an intense study programme at Thwaites because of its melt rate. ', 'Already it is dumping 50 billion tonnes of ice into the ocean each year.', ""This is having limited impact on global sea-levels today, but there is sufficient ice held upstream in the glacier's drainage basin to raise the height of the oceans by 65cm - were it all to melt."", 'Such a ""doomsday"" scenario is unlikely to come about for many centuries, but the study team says Thwaites is now responding to a warming world in really quite rapid ways.', '""There is going to be dramatic change in the front of the glacier, probably in less than a decade. Both published and unpublished studies point in that direction,"" said glaciologist Prof Ted Scambos, US lead coordinator for the International Thwaites Glacier Collaboration (ITGC). ', '""This will accelerate the pace (of Thwaites) and widen, effectively, the dangerous part of the glacier,"" he told BBC News.', ""Thwaites: 'Doomsday Glacier' vulnerability seen in new mapsClimate change and the journey to the 'doomsday glacier''Boaty McBoatface' survives ice mission"", ""Thwaites is a colossus. It's roughly the size of Great Britain, or Florida, and its outflow speed has doubled in the past 30 years."", ""The ITGC has established how this is happening. It is the result of warm ocean water getting under - and melting - Thwaites's floating front, or ice shelf as it's known."", 'The warm water is thinning and weakening this ice, making it run faster and pushing back the zone where the main glacier body becomes buoyant.', ""At the moment, the leading edge of the eastern ice shelf is pinned in place by an offshore underwater ridge, which means its flow speed is a third of that seen in the ice shelf's western sector which has no such constraint."", 'But the ITGC team says the eastern shelf is likely to become uncoupled from the ridge in the next few years which will destabilise it. And even if the pinning persists, the ongoing development of fractures in the shelf ice will almost certainly break up the area anyway.', '""I visualise it somewhat similar to that car window where you have a few cracks that are slowly propagating, and then suddenly you go over a bump in your car and the whole thing just starts to shatter in every direction,"" explained Dr Erin Pettit from Oregon State University.', 'The affected area is very small when considered in the context of the glacier as a whole, but it is the shift to a new regime and what this means for further ice loss that is the real significance.', 'At present, the eastern shelf, which has a width of about 40km, moves forward at about 600m per year. The coming change in status will probably see the following ice jump in speed to about 2km per year - the same as the current velocity recorded in the 80km-wide western sector.', ""Jointly funded by the US National Science Foundation and the UK's Natural Environment Research Council, the five-year ITGC project is putting Thwaites under unprecedented scrutiny. "", ""Each Antarctic summer season, teams of scientists are investigating the glacier's behaviour in every way possible. From satellite, on the ice, and from ships in front of Thwaites."", 'Those teams are en route for the new season right now, some in Covid quarantine ahead of their deployment to the field.', 'One of the projects for the New Year will see the tubby yellow submarine known as ""Boaty McBoatface"" dive under Thwaites\' floating ice to gather data on water temperature, current direction and turbulence - all factors that influence melting.', 'The autonomous vehicle will go on missions lasting one to four days, navigating its own path through the cavity beneath the shelf. This is high risk as the seafloor terrain is extremely rugged. ', '""It\'s scary. We might not get Boaty back,"" conceded Dr Alex Phillips from the UK\'s National Oceanography Centre.  ', '""We\'ve put a lot of effort this past year into developing collision avoidance for the vehicle, to make sure it doesn\'t crash into the seabed. We also have contingencies whereby if it does get into trouble, it can retrace its steps and retreat to safety.""', 'The latest science on Thwaites Glacier is being presented this week at the American Geophysical Union Fall Meeting in New Orleans.']","['https://ichef.bbci.co.uk/news/976/cpsprodpb/17D48/production/_122080679_0c9b33ea-9bd1-477d-8c68-aa0d8b031ab7.jpg', 'https://ichef.bbci.co.uk/news/1024/cpsprodpb/6BD8/production/_122080672_thwaites-v2-nc.png', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/11C39/production/_122216727_boaty3.jpg']"
3,https://www.bbc.com//news/59387191,By Esme Stallard and Wanyuan SongReality Check,2021-12-08T00:37:31.000Z,Indonesia's biodiesel drive is leading to deforestation,"['Indonesia pledged at the recent COP26 climate summit that its greenhouse gas emissions would peak by 2030 and then start to fall. ', ""It's also said that it will end deforestation by that same date."", ""But to reduce emissions from its transport sector, it's relying on using more biofuels - production of which can lead to the loss of forested land."", 'So how can it both curb its emissions using biofuels and end deforestation by 2030?', ""Indonesia is now the third largest producer of biofuels in the world, behind Brazil and the US, and the world's largest producer of biodiesel - a biofuel alternative to regular diesel fuel."", 'Biofuels come from plant material and animal waste, and can be used to power vehicles or for heating and electricity. ', 'They are considered a renewable alternative to traditional fossil fuels (coal, petrol and diesel) as they can be replenished quicker and release fewer greenhouse gases. ', 'Indonesia produces biodiesel from crops, primarily palm oil, and government policy stipulates that all diesel fuel must contain a mix of at least 30% biodiesel - to rise to 50% by 2025.', ""The transport sector accounts for 13.6% of the country's emissions and 45% of its energy consumption. The government believes this policy could reduce their transport emissions by 36 million tonnes of CO2 by 2040."", 'But taken along with an expected 6% annual growth in its vehicle fleet, it means biofuel production will need to increase by nearly 50% over the next three years to meet demand. ', 'This would require a substantial increase in land used for biofuel production, perhaps by as much as 1.2 million hectares - to about a quarter of all palm oil cultivation in the country.', 'In theory, biofuels should reduce emissions compared with fossil fuels because when biofuel crops grow, they absorb carbon from the atmosphere which is then released through burning - meaning there is no net increase in emissions. ', 'The crops can then be replanted and the process started again. ', 'However, problems arise because of land clearing such as deforestation, which is needed to grow these crops.', 'Forests are one of the most effective systems at absorbing CO2 from the atmosphere, far more so than crops. ', 'Replacing them with biofuel crops means less CO2 is absorbed, and this leads to an increase of greenhouse gases - contributing to global warming.', 'So when forested land is cleared - as opposed to using existing agricultural land - to grow soybean or palm oil it can end up producing more emissions for each unit of energy than diesel.', 'The government has tried to implement measures for the sustainable management of its forests. However, earlier this year it failed to extend a ban on new palm oil plantations.', 'Which countries are still cutting down trees?', 'Indonesia pledged to end deforestation by 2030 at COP26, but afterwards, its environment minister said the promise was ""clearly inappropriate and unfair"".  ', 'In a BBC interview in October, Indonesian President Joko Widodo defended his country\'s deforestation record, and said it had ""rehabilitated a lot of hectares"" of forests.', ""It's true the annual rate of deforestation has come down. But Indonesia continues to be one of the world's top three countries for the amount of forest loss, primarily because of new palm oil plantations."", 'And when approached about this article, Febry Calvin Tetelepta from the presidential office told us palm oil plantations were a more efficient way to produce biofuel than using crops like sunflower and soy bean.', 'He said palm oil requires relatively smaller amounts of land for the same quantity of oil - which is correct.', 'There are more than 60 countries with a requirement for biodiesel in their fuel supply, but attitudes are changing in some of them.', 'Germany, the fourth largest global producer of biofuels, says that from 2023 it will no longer produce biodiesel from palm oil because of concerns about deforestation.', 'The EU has similarly tightened its restrictions.', 'Brazil  - another big user of biofuels - has reduced production this year because of successive droughts, which have lowered yields for soybean and corn.', 'Thailand has suspended indefinitely the rollout of diesel and biodiesel mixes because higher crop prices have made production unsustainable. ', 'Global Forest Watch says there are around 50 to 60 other, more environmentally friendly plants apart from palm oil, like candlenut and coconut, that could be used in Indonesia. ', 'However, research group Carbon Disclosure Project found that certification issues for biofuel production, alongside existing subsidies, encourages producers to continue with deforestation practices as opposed to seeking out sustainable alternatives.', 'Indonesia says it wants to move towards electric vehicles to cut transport emissions.', 'But it currently only has a modest plan for 2.2 million electric cars by 2030 and to sell only electric cars and motorcycles by 2050.', 'Indonesia has more than 21 million vehicles on the road, but only a few thousand were electric by the end of 2020.', ""And given that 90% of Indonesia's electricity is produced from fossil fuels (mostly coal), running an electric vehicle currently produces significantly more emissions than using diesel or petrol. "", 'Filda Yusgiantoro, director of an Indonesia energy think tank, says given the growing demand for vehicles, ""biofuels.. from palm oil will still play a major role in supplying fuel needs for the transportation sector"".', 'Additional research by Astudestra Ajengrastri and Nurika Manan from BBC Indonesian']","['https://ichef.bbci.co.uk/news/976/cpsprodpb/52E5/production/_121912212_bandaaceh_protest_epa_crop_hi071745212.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/D459/production/_121916345_research_biofuel_gettyimages-1079987712.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/13D45/production/_121912218_nasa_indondefor_oli_2019331_th.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/A376/production/_121764814_biofuels_23a_nov-nc.png', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/A105/production/_121912214_jakarta_echarge_epa_crop_hi071860716.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/1848/production/_98761260_onlinebanner_976x280.jpg']"
12,https://www.bbc.com//news/science-environment-59212185,By Joe Whitwell,2021-11-09T01:21:41.000Z,Climate change: What do scientists want from COP26 this week?,"['As the COP26 climate summit enters its second week, negotiations in Glasgow have hit a critical phase. ', 'The conference is seen as crucial if climate change is to be brought under control. So we asked more than a dozen climate scientists, negotiators and economists from around the world what they wanted to see agreed this week.', 'The scientists all wanted to see more countries commit to net zero by 2050 at the latest. Yet many said changes in the next decade would be the most impactful.', 'Governments must agree to ""cut emissions by half in the next 10 years"", says Prof Mark Maslin, who researches the impact of humans on the environment at University College London.', 'The Paris climate agreement in 2015 committed countries to reach net zero between 2050 and 2100. But reaching net zero is not easy and means big changes to transport, manufacturing, food supplies, construction and almost every aspect of life. ', ""And many of the scientists think 2050 might be too late, particularly if countries don't cut emissions drastically before then. "", ""What does net zero mean?What's been agreed at COP26 so far?What is the Paris climate agreement? "", '""The longer you leave it, the more difficult it is to deliver net zero by 2050,"" says Prof Martin Siegert, who researches changes in glaciers at Imperial College London. ', ""More than 100 countries have made the 2050 commitment, yet dozens have not. Others big emitters, such as China and Saudi Arabia, have made a net zero commitment - but by 2060, not 2050. One of the world's largest emitters, India, says it will get to net zero by 2070 - 20 years later."", 'The scientists said countries must sign up to go quicker. ""We\'ve got to get international consensus at least in principle around the notion of net zero by 2050,"" says Prof Siegert. ""If that can be done at least in principle at Glasgow, it will be a major step forward."" ', 'The scientists we spoke to said investment in fossil fuels also had to be stopped, with money instead going into renewables like solar and wind. ', ""Last week at COP, there were announcements on cuts to coal and methane, but many scientists say they don't go far enough. "", '""There needs to be a blanket stop on any foreign investment that builds and supports coal power plants or any other fossil technology"" says Prof Malte Meinhausen, of the University of Melbourne.', 'And Dr Natalie Jones, a specialist in existential risk at the University of Cambridge, says countries need to publish robust plans and policies on how they will achieve their targets.', 'Having plans on paper, or in law, makes it easier to get countries to stick to their word, she says. ""It provides a kind of hook that you can use to hold countries accountable because you can say, \'well, you\'ve promised this. This is your policy statement\'."" ', '""The UK, for example, has this relatively ambitious emissions reduction targets but it\'s concurrently trying to open a new oil field at the moment,"" she added. ""The science tells us these things are fundamentally incompatible.""  ', 'One proposal from the scientists was for every country to have a limit on how much it can emit. ', 'However, what the limits for countries might be, and how any scheme might work in practice, is likely to lead to difficult negotiations. Previous attempts to reach an agreement have failed. ', 'An alternate solution, suggested by some we spoke to, was a global carbon tax system where consumers and companies, rather than governments, pay a tax on emissions. ', 'By making business as usual more expensive, they argue, companies will be more likely to invest in cleaner technologies, which is essential to lowering emissions around the world. ', '""A carbon tax needs to happen,"" says Danae Kyriakopoulou a senior policy fellow at the London School of Economics. ""We have to create incentives and create change in behaviour.""', 'COP26: Time to sober upWhat action are the biggest carbon polluters taking? ', 'There is support for the idea. The head of the World Trade Organization recently called for a coordinated approach to taxes on emissions. However, higher costs could be passed on to consumers who use fossil fuels to drive their cars or heat their homes. ', 'Ms Kyriakopoulou thinks this could be managed by taking the money raised by a tax and redirecting it to reduce costs. A country could subsidise home insulation to keep homes warmer and reduce the cost of bills, for example. ', 'Many people in developing countries, are suffering, says Dr Aditya Bahadur, a researcher at the International Institute for Environment and Development. ', '""They need resources to adapt to these changes. They need knowledge and information. They need new kinds of technologies. They need protective infrastructure.""', 'The developed world had pledged to provide $100bn a year to poorer countries by 2020, but this has slipped to 2023. ', 'The US is already pledging more money, but the scientists we spoke to said reaching the commitment as soon as possible was important.', 'Dr Bahadur says a focus on adapting to climate change would allow countries to share technologies and advice on how to cope with extreme weather. ', 'For example, a country that experiences droughts or floods frequently could give advice to others that have just started experiencing extreme weather events. ', ""Rich countries 'push back' on climate loss paymentLife where it's too hot to work, too hot to sleep"", '""I have a colleague in Bangladesh who says Bangladesh has a lot teach to Germany about how to deal with floods.""', 'There is optimism for collaboration and knowledge-sharing among those we spoke to. The Covid-19 pandemic was given as an example for how countries can find ways to work together. ', '""I am optimistic that a lot of good things will come out of COP26,"" says Dr Nana Ama Browne Klutse, a scientist at the university of Ghana, in Accra. She contributed to a major UN report on climate change, published this year.   ', '""Everyone wanted to fight this pandemic. The whole world kind of became one."" She added: ""This is how I want to see the fight against climate change. The world must come together to have this fight, with a common goal.""', 'Why the COP26 climate summit is importantSimple guide to climate changeWhat will climate change look like for you?Four ways to reduce your emissions']","['https://ichef.bbci.co.uk/news/976/cpsprodpb/AB48/production/_121484834_071808108-1.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/1657E/production/_121481519_d4c6bda6-7402-454b-a7fd-8cc8dfe5917d.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/F1F2/production/_121483916_071662010-1.jpg', 'https://ichef.bbci.co.uk/news/976/cpsprodpb/CD26/production/_121481525_8115288b-ce39-4335-b78b-a376bceba011.jpg', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/163F9/production/_120892119_summit_top-3x-002.png', 'https://ichef.bbci.co.uk/news/2048/cpsprodpb/155C6/production/_120449478_bottom-3x.png']"
